Unnamed: 0,date,competition_name,city,pool_length,distance,style,age_category,athlete,sex,age,club,time,points,place,fpm
0,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,70 - 74,БЕЛИНСКАЯ Наталья,ж,71,Невские звёзды,1:32.03,551,1,True
1,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,70 - 74,СБОЕВА Ирина,ж,72,Тройка,1:50.51,318,2,True
2,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,КЕДРОВА Ольга,ж,65,Невские звёзды,1:16.89,721,1,True
3,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ТИХОМИРОВА Татьяна,ж,61,Фитнес Хаус,1:11.40,765,1,True
4,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,КОРОТКОВА Марина,ж,64,Невские звёзды,1:19.31,558,2,True
5,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,СМИРНОВА Любовь,ж,60,Гидра Мастерс,1:29.46,389,3,True
6,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ПАВЛОВА Елена,ж,60,Невские звёзды,1:34.07,334,4,True
7,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,БОЕВА Юлия,ж,56,Олимп,1:08.46,750,1,True
8,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ПЛОТНИЦКАЯ Светлана,ж,57,Свимлайф Мастерс,1:08.60,745,2,True
9,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ХОРС Елена,ж,50,Тройка,1:09.84,652,1,True
10,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,БАСКАКОВА Снежана,ж,51,Тройка,1:11.65,604,2,True
11,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ТИТОВА Татьяна,ж,53,Гидра Мастерс,1:24.89,363,3,True
12,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ИВАНОВА Лилия,ж,50,Фитнес Хаус,1:32.44,281,4,True
13,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ШЕВЧУК Людмила,ж,51,Сириус СПб,1:35.07,258,5,True
14,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,ГРИНЬ Ульяна,ж,48,Радуга,1:12.31,544,2,True
15,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ЦАРЬКОВА Инга,ж,42,Свимлайф Мастерс,1:03.49,764,1,True
16,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ПОСТНИКОВА Екатерина,ж,42,Невские звёзды,1:19.83,384,2,True
17,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,БРЫНЦЕВА Евгения,ж,37,Мэд Вейв,1:00.23,876,1,True
18,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,КАЛАШНИКОВА Юлия,ж,38,Свимлайф Мастерс,1:04.04,728,2,True
19,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,НОВИКОВА Анна,ж,38,Гравити Спорт,1:08.03,607,3,True
20,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,МОРОЗОВА Анастасия,ж,35,Фитнес Хаус,1:08.18,603,4,True
21,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ДУДИНА Анастасия,ж,36,Фитнес Хаус,1:09.92,559,5,True
22,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,МАРЧЕНКОВА Алина,ж,36,Драфт,1:10.52,545,6,True
23,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ЛЕБЕДЕВА Евгения,ж,38,ТимКулик Мастерс,1:12.86,494,7,True
24,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,СУРОВЦОВА Марина,ж,39,ТимКулик Мастерс,1:13.64,479,8,True
25,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ДУБРОВСКАЯ Екатерина,ж,37,Гидра Мастерс,1:13.89,474,9,True
26,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,СЕМЕНОВА София,ж,30,Свимлайф Мастерс,1:02.04,727,1,True
27,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,АЛЕКСЕЕВА Анастасия,ж,34,Невские звёзды,1:05.80,609,2,True
28,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,РАЗУВАЕВА Анна,ж,28,ЦСКА,1:02.63,677,1,True
29,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,КОНОВАЛОВА Антонина,ж,26,Тройка,1:03.36,654,2,True
30,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,ДАНИЛЕВИЧ Дарья,ж,26,Невские звёзды,1:12.71,433,5,True
31,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,75 - 79,ПЕТКАУ Олег,м,78,Невские звёзды,1:19.57,666,1,True
32,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,75 - 79,НЕФЕДОВ Владимир,м,76,Невские звёзды,1:23.84,569,2,True
33,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,75 - 79,ЛАМДЕН Константин,м,78,Сириус СПб,1:51.06,245,3,True
34,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,70 - 74,ГРИЧЕНКОВ Иван,м,74,Гидра Мастерс,1:20.40,530,2,True
35,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,СЕМЕНОВ Андрей,м,65,Урал,1:08.45,664,1,True
36,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,БУБЛИКОВ Константин,м,66,Невские звёзды,1:08.84,653,2,True
37,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,ПУЛИНЕЦ Вадим,м,66,Невские звёзды,1:11.67,579,3,True
38,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,АНТИПОВ Александр,м,69,Солнечногорье,1:18.35,443,4,True
39,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,КАНАЕВ Николай,м,69,Сириус СПб,1:26.12,333,5,True
40,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ТРУСОВ Алексей,м,61,Спрут,1:02.96,749,1,True
41,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,РУДЕНКО Виктор,м,62,Гидра Мастерс,1:10.69,529,3,True
42,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,КОВАЛЬ Евгений,м,61,МКМП,1:10.82,526,4,True
43,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,СМИРНОВ Игорь,м,60,Фитнес Хаус,1:10.98,523,5,True
44,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,СИЗИКОВ Геннадий,м,62,Мордовские Лисы,1:11.31,516,6,True
45,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ПАВЛОВ Роман,м,63,Спрут,1:20.59,357,7,True
46,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ЛЫСКОВ Александр,м,61,ЦСКА,1:22.90,328,8,True
47,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,БАЛЯКОВ Дмитрий,м,59,Невские звёзды,59.25,812,1,True
48,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ЕФИМОВ Петр,м,57,Невские звёзды,1:03.03,675,2,True
49,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ЗАЙЧЕНКО Дмитрий,м,55,Фитнес Хаус,1:07.07,560,3,True
